f,g,f_no_neg,g_no_neg,alpha,beta,gamma,n,k_gamma0,k_gamma,d0,d,ratio0,ratio
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,-6,42,4,4,5,6,2.38,3.43
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,-4,42,4,4,5,5,2.38,2.38
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,-2,42,4,4,5,7,2.38,4.67
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,-1,42,4,4,5,5,2.38,2.38
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,0,42,4,4,5,5,2.38,2.38
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,1,42,4,4,5,6,2.38,3.43
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,3,42,4,4,5,5,2.38,2.38
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,5,42,4,4,5,7,2.38,4.67
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,x^2*y^2+x*y^2+1,x^3+y^5+y^3,7,3,6,42,4,4,5,5,2.38,2.38
1 + x^-1*y^-3 + x^-3,x^3*y^-2 + x^2*y^2 + 1,x^3*y^3+x^2+y^3,x^3+x^2*y^4+y^2,3,7,0,42,4,4,6,6,3.43,3.43
