f,g,n,alpha,beta,gamma,k_gamma0,k_gamma,f_clean,g_clean,f_shift_x,f_shift_y,g_shift_x,g_shift_y,f_no_neg,g_no_neg
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,-6,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,-4,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,-2,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,-1,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,0,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,1,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,3,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,5,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,42,7,3,6,4,4,1 + x^-1 + x^-2*y^-2,x^3*y^-3 + y^2 + 1,2,2,0,3,x^2*y^2+x*y^2+1,x^3+y^5+y^3
1 + x^-1*y^-3 + x^-3,x^3*y^-2 + x^2*y^2 + 1,42,3,7,0,4,4,1 + x^-1*y^-3 + x^-3,x^3*y^-2 + x^2*y^2 + 1,3,3,0,2,x^3*y^3+x^2+y^3,x^3+x^2*y^4+y^2
x^3*y + 1 + y^-1,x^3*y^3 + 1 + x^-1*y^3,42,3,7,0,4,4,x^3*y + 1 + y^-1,x^3*y^3 + 1 + x^-1*y^3,0,1,1,0,x^3*y^2+y+1,x^4*y^3+x+y^3
y + 1 + x^-2*y^-3,x^2*y^-3 + 1 + x^-2,42,3,7,-2,2,4,y + 1 + x^-2*y^-3,x^2*y^-3 + 1 + x^-2,2,3,2,3,x^2*y^4+x^2*y^3+1,x^4+x^2*y^3+y^3
y + 1 + x^-2*y^-3,x^2*y^-3 + 1 + x^-2,42,3,7,1,2,4,y + 1 + x^-2*y^-3,x^2*y^-3 + 1 + x^-2,2,3,2,3,x^2*y^4+x^2*y^3+1,x^4+x^2*y^3+y^3
1 + x^-1 + x^-2,x^2*y^-1 + 1 + y^-2,42,3,7,0,4,4,1 + x^-1 + x^-2,x^2*y^-1 + 1 + y^-2,2,0,0,2,x^2+x+1,x^2*y+y^2+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,1,21,0,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,-6,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,-5,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,-4,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,-3,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,-2,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,-1,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,0,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,1,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,2,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,3,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,4,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,5,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,42,7,3,6,4,4,1 + x^-1*y^-2 + x^-2*y^3,x^2*y^2 + 1 + x^-2*y^-1,2,2,2,1,x^2*y^2+x+y^5,x^4*y^3+x^2*y+1
x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,42,1,21,0,4,4,x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,3,3,2,0,x^6*y+x^3*y^3+1,x^2+x+y^3
x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,42,7,3,-6,4,4,x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,3,3,2,0,x^6*y+x^3*y^3+1,x^2+x+y^3
x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,42,7,3,-5,4,4,x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,3,3,2,0,x^6*y+x^3*y^3+1,x^2+x+y^3
x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,42,7,3,-1,4,4,x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,3,3,2,0,x^6*y+x^3*y^3+1,x^2+x+y^3
x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,42,7,3,0,4,4,x^3*y^-2 + 1 + x^-3*y^-3,1 + x^-1 + x^-2*y^3,3,3,2,0,x^6*y+x^3*y^3+1,x^2+x+y^3
